date,city,aqi_mean
2025-03-18,Hà Nội,131.2173913043478
2025-03-18,Hải Phòng,108.52173913043478
2025-03-18,Hồ Chí Minh,83.04347826086956
2025-03-18,Nha Trang,58.130434782608695
2025-03-18,Vinh,104.47826086956522
2025-03-18,Đà Nẵng,37.43478260869565
2025-03-19,Cần Thơ,74.95833333333333
2025-03-19,Huế,72.125
2025-03-19,Hà Nội,107.16666666666667
2025-03-19,Hải Phòng,86.5
2025-03-19,Hồ Chí Minh,81.70833333333333
2025-03-19,Nha Trang,75.16666666666667
2025-03-19,Vinh,92.79166666666667
2025-03-19,Đà Nẵng,54.583333333333336
2025-03-20,Cần Thơ,100.6086956521739
2025-03-20,Huế,69.26086956521739
2025-03-20,Hà Nội,128.95652173913044
2025-03-20,Hải Phòng,120.91304347826087
2025-03-20,Hồ Chí Minh,85.43478260869566
2025-03-20,Nha Trang,77.21739130434783
2025-03-20,Vinh,87.6086956521739
2025-03-20,Đà Nẵng,75.17391304347827
2025-03-21,Cần Thơ,93.43478260869566
2025-03-21,Huế,74.82608695652173
2025-03-21,Hà Nội,181.43478260869566
2025-03-21,Hải Phòng,113.04347826086956
2025-03-21,Hồ Chí Minh,103.0
2025-03-21,Nha Trang,69.78260869565217
2025-03-21,Vinh,95.69565217391305
2025-03-21,Đà Nẵng,83.47826086956522
2025-03-22,Cần Thơ,79.0
2025-03-22,Huế,89.91304347826087
2025-03-22,Hà Nội,169.7391304347826
2025-03-22,Hải Phòng,118.52173913043478
2025-03-22,Hồ Chí Minh,129.7826086956522
2025-03-22,Nha Trang,61.869565217391305
2025-03-22,Vinh,107.26086956521739
2025-03-22,Đà Nẵng,99.95652173913044
2025-03-23,Cần Thơ,71.0
2025-03-23,Huế,59.958333333333336
2025-03-23,Hà Nội,170.95833333333334
2025-03-23,Hải Phòng,119.20833333333333
2025-03-23,Hồ Chí Minh,132.79166666666666
2025-03-23,Nha Trang,58.375
2025-03-23,Vinh,100.625
2025-03-23,Đà Nẵng,79.79166666666667
2025-03-24,Cần Thơ,78.95652173913044
2025-03-24,Huế,59.26086956521739
2025-03-24,Hà Nội,175.91304347826087
2025-03-24,Hải Phòng,147.6086956521739
2025-03-24,Hồ Chí Minh,106.34782608695652
2025-03-24,Nha Trang,60.69565217391305
2025-03-24,Vinh,100.30434782608695
2025-03-24,Đà Nẵng,76.78260869565217
2025-03-25,Cần Thơ,66.875
2025-03-25,Huế,62.041666666666664
2025-03-25,Hà Nội,176.47826086956522
2025-03-25,Hải Phòng,89.625
2025-03-25,Hồ Chí Minh,76.1304347826087
2025-03-25,Nha Trang,61.130434782608695
2025-03-25,Vinh,102.20833333333333
2025-03-25,Đà Nẵng,80.33333333333333
2025-03-26,Cần Thơ,78.875
2025-03-26,Huế,76.83333333333333
2025-03-26,Hà Nội,149.875
2025-03-26,Hải Phòng,74.45833333333333
2025-03-26,Hồ Chí Minh,83.41666666666667
2025-03-26,Nha Trang,66.41666666666667
2025-03-26,Vinh,118.95833333333333
2025-03-26,Đà Nẵng,86.20833333333333
2025-03-27,Cần Thơ,76.45833333333333
2025-03-27,Huế,104.29166666666667
2025-03-27,Hà Nội,154.75
2025-03-27,Hải Phòng,87.70833333333333
2025-03-27,Hồ Chí Minh,78.04166666666667
2025-03-27,Nha Trang,72.29166666666667
2025-03-27,Vinh,146.25
2025-03-27,Đà Nẵng,125.08333333333333
2025-03-28,Cần Thơ,77.95652173913044
2025-03-28,Huế,132.56521739130434
2025-03-28,Hà Nội,153.8695652173913
2025-03-28,Hải Phòng,105.08695652173913
2025-03-28,Hồ Chí Minh,66.69565217391305
2025-03-28,Nha Trang,69.04347826086956
2025-03-28,Vinh,143.6086956521739
2025-03-28,Đà Nẵng,99.69565217391305
2025-03-29,Cần Thơ,73.43478260869566
2025-03-29,Huế,77.52173913043478
2025-03-29,Hà Nội,114.95652173913044
2025-03-29,Hải Phòng,107.04347826086956
2025-03-29,Hồ Chí Minh,54.69565217391305
2025-03-29,Nha Trang,66.04347826086956
2025-03-29,Vinh,104.69565217391305
2025-03-29,Đà Nẵng,59.91304347826087
2025-03-30,Cần Thơ,68.21739130434783
2025-03-30,Huế,34.43478260869565
2025-03-30,Hà Nội,60.21739130434783
2025-03-30,Hải Phòng,51.82608695652174
2025-03-30,Hồ Chí Minh,64.78260869565217
2025-03-30,Nha Trang,68.34782608695652
2025-03-30,Vinh,84.30434782608695
2025-03-30,Đà Nẵng,35.95652173913044
2025-03-31,Cần Thơ,74.86363636363636
2025-03-31,Huế,59.18181818181818
2025-03-31,Hà Nội,78.27272727272727
2025-03-31,Hải Phòng,75.5
